,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
48,49,98.0,"[Timestamp('2024-06-03 00:00:00'), Timestamp('2024-11-10 00:00:00')]",2,2024-11-10,541,4,2,4,424,3.0
102,103,168.0,"[Timestamp('2024-04-28 00:00:00'), Timestamp('2025-07-06 00:00:00')]",2,2025-07-06,303,5,2,4,524,3.0
317,318,94.95,"[Timestamp('2023-07-22 00:00:00'), Timestamp('2025-05-24 00:00:00')]",2,2025-05-24,346,5,2,4,524,3.0
381,382,115.5,"[Timestamp('2023-03-26 00:00:00'), Timestamp('2025-01-29 00:00:00')]",2,2025-01-29,461,4,2,4,424,3.0
412,413,98.0,"[Timestamp('2023-01-31 00:00:00'), Timestamp('2024-11-05 00:00:00')]",2,2024-11-05,546,4,2,4,424,3.0
564,565,80.0,[Timestamp('2026-04-04 00:00:00')],1,2026-04-04,31,5,1,3,513,2.0
565,566,80.0,[Timestamp('2026-04-02 00:00:00')],1,2026-04-02,33,5,1,3,513,2.0
566,567,68.75,[Timestamp('2026-03-29 00:00:00')],1,2026-03-29,37,5,1,3,513,2.0
567,568,155.0,[Timestamp('2026-03-29 00:00:00')],1,2026-03-29,37,5,1,4,514,2.5
570,571,38.75,[Timestamp('2026-03-24 00:00:00')],1,2026-03-24,42,5,1,2,512,1.5
571,572,80.0,[Timestamp('2026-03-24 00:00:00')],1,2026-03-24,42,5,1,3,513,2.0
573,574,141.25,"[Timestamp('2026-03-21 00:00:00'), Timestamp('2025-10-05 00:00:00')]",2,2026-03-21,45,5,2,4,524,3.0
576,577,110.0,[Timestamp('2026-03-16 00:00:00')],1,2026-03-16,50,5,1,4,514,2.5
578,579,95.0,[Timestamp('2026-03-07 00:00:00')],1,2026-03-07,59,5,1,4,514,2.5
579,580,80.0,[Timestamp('2026-03-04 00:00:00')],1,2026-03-04,62,5,1,3,513,2.0
580,581,80.0,[Timestamp('2026-02-26 00:00:00')],1,2026-02-26,68,5,1,3,513,2.0
581,582,57.5,[Timestamp('2026-02-22 00:00:00')],1,2026-02-22,72,5,1,3,513,2.0
583,584,80.0,[Timestamp('2026-02-09 00:00:00')],1,2026-02-09,85,5,1,3,513,2.0
584,585,61.25,[Timestamp('2026-02-09 00:00:00')],1,2026-02-09,85,5,1,3,513,2.0
586,587,80.0,[Timestamp('2026-02-04 00:00:00')],1,2026-02-04,90,5,1,3,513,2.0
587,588,65.0,[Timestamp('2026-01-26 00:00:00')],1,2026-01-26,99,5,1,3,513,2.0
588,589,80.0,[Timestamp('2026-01-23 00:00:00')],1,2026-01-23,102,5,1,3,513,2.0
589,590,95.0,[Timestamp('2026-01-20 00:00:00')],1,2026-01-20,105,5,1,4,514,2.5
593,594,50.0,[Timestamp('2025-12-30 00:00:00')],1,2025-12-30,126,5,1,2,512,1.5
595,596,80.0,[Timestamp('2025-12-12 00:00:00')],1,2025-12-12,144,5,1,3,513,2.0
596,597,80.0,[Timestamp('2025-12-12 00:00:00')],1,2025-12-12,144,5,1,3,513,2.0
598,599,80.0,[Timestamp('2025-12-08 00:00:00')],1,2025-12-08,148,5,1,3,513,2.0
600,601,78.0,"[Timestamp('2025-12-01 00:00:00'), Timestamp('2025-03-30 00:00:00')]",2,2025-12-01,155,5,2,3,523,2.5
601,602,80.0,[Timestamp('2025-12-01 00:00:00')],1,2025-12-01,155,5,1,3,513,2.0
603,604,125.0,[Timestamp('2025-11-28 00:00:00')],1,2025-11-28,158,5,1,4,514,2.5
604,605,122.5,"[Timestamp('2025-11-28 00:00:00'), Timestamp('2025-10-28 00:00:00')]",2,2025-11-28,158,5,2,4,524,3.0
606,607,80.0,[Timestamp('2025-11-27 00:00:00')],1,2025-11-27,159,5,1,3,513,2.0
607,608,55.0,"[Timestamp('2025-11-26 00:00:00'), Timestamp('2025-10-25 00:00:00')]",2,2025-11-26,160,5,2,2,522,2.0
608,609,80.0,[Timestamp('2025-11-24 00:00:00')],1,2025-11-24,162,5,1,3,513,2.0
609,610,80.0,[Timestamp('2025-11-19 00:00:00')],1,2025-11-19,167,5,1,3,513,2.0
610,611,85.0,"[Timestamp('2025-11-19 00:00:00'), Timestamp('2025-11-19 00:00:00')]",2,2025-11-19,167,5,2,4,524,3.0
611,612,125.0,"[Timestamp('2025-11-17 00:00:00'), Timestamp('2025-07-03 00:00:00')]",2,2025-11-17,169,5,2,4,524,3.0
612,613,80.0,[Timestamp('2025-11-06 00:00:00')],1,2025-11-06,180,5,1,3,513,2.0
613,614,70.0,[Timestamp('2025-10-24 00:00:00')],1,2025-10-24,193,5,1,3,513,2.0
614,615,95.0,[Timestamp('2025-10-15 00:00:00')],1,2025-10-15,202,5,1,4,514,2.5
615,616,80.0,[Timestamp('2025-10-15 00:00:00')],1,2025-10-15,202,5,1,3,513,2.0
616,617,84.2,[Timestamp('2025-10-15 00:00:00')],1,2025-10-15,202,5,1,3,513,2.0
618,619,245.0,[Timestamp('2025-09-29 00:00:00')],1,2025-09-29,218,5,1,5,515,3.0
619,620,104.0,[Timestamp('2025-09-26 00:00:00')],1,2025-09-26,221,5,1,4,514,2.5
620,621,170.0,[Timestamp('2025-09-16 00:00:00')],1,2025-09-16,231,5,1,4,514,2.5
621,622,61.25,[Timestamp('2025-09-10 00:00:00')],1,2025-09-10,237,5,1,3,513,2.0
622,623,68.75,[Timestamp('2025-09-05 00:00:00')],1,2025-09-05,242,5,1,3,513,2.0
624,625,95.0,[Timestamp('2025-08-22 00:00:00')],1,2025-08-22,256,5,1,4,514,2.5
625,626,80.0,[Timestamp('2025-08-15 00:00:00')],1,2025-08-15,263,5,1,3,513,2.0
626,627,72.5,"[Timestamp('2025-08-07 00:00:00'), Timestamp('2025-07-07 00:00:00')]",2,2025-08-07,271,5,2,3,523,2.5
627,628,50.0,[Timestamp('2025-08-05 00:00:00')],1,2025-08-05,273,5,1,2,512,1.5
629,630,80.0,[Timestamp('2025-07-15 00:00:00')],1,2025-07-15,294,5,1,3,513,2.0
633,634,165.0,"[Timestamp('2025-07-06 00:00:00'), Timestamp('2025-04-21 00:00:00')]",2,2025-07-06,303,5,2,4,524,3.0
635,636,45.0,[Timestamp('2025-07-03 00:00:00')],1,2025-07-03,306,5,1,2,512,1.5
636,637,56.0,[Timestamp('2025-07-03 00:00:00')],1,2025-07-03,306,5,1,2,512,1.5
638,639,45.0,[Timestamp('2025-07-02 00:00:00')],1,2025-07-02,307,5,1,2,512,1.5
639,640,56.0,[Timestamp('2025-07-01 00:00:00')],1,2025-07-01,308,5,1,2,512,1.5
641,642,51.0,[Timestamp('2025-07-01 00:00:00')],1,2025-07-01,308,5,1,2,512,1.5
646,647,171.0,[Timestamp('2025-06-28 00:00:00')],1,2025-06-28,311,5,1,4,514,2.5
647,648,104.0,"[Timestamp('2025-06-28 00:00:00'), Timestamp('2025-06-19 00:00:00')]",2,2025-06-28,311,5,2,4,524,3.0
648,649,36.0,[Timestamp('2025-06-26 00:00:00')],1,2025-06-26,313,5,1,2,512,1.5
649,650,60.0,[Timestamp('2025-06-24 00:00:00')],1,2025-06-24,315,5,1,3,513,2.0
650,651,45.0,[Timestamp('2025-06-18 00:00:00')],1,2025-06-18,321,5,1,2,512,1.5
652,653,45.0,[Timestamp('2025-06-14 00:00:00')],1,2025-06-14,325,5,1,2,512,1.5
655,656,150.0,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-06 00:00:00')]",2,2025-06-06,333,5,2,4,524,3.0
656,657,133.0,[Timestamp('2025-05-31 00:00:00')],1,2025-05-31,339,5,1,4,514,2.5
657,658,155.0,[Timestamp('2025-05-26 00:00:00')],1,2025-05-26,344,5,1,4,514,2.5
658,659,45.0,[Timestamp('2025-05-25 00:00:00')],1,2025-05-25,345,5,1,2,512,1.5
660,661,56.0,[Timestamp('2025-05-21 00:00:00')],1,2025-05-21,349,5,1,2,512,1.5
662,663,135.0,"[Timestamp('2025-05-17 00:00:00'), Timestamp('2025-04-04 00:00:00')]",2,2025-05-17,353,5,2,4,524,3.0
663,664,45.0,[Timestamp('2025-05-17 00:00:00')],1,2025-05-17,353,5,1,2,512,1.5
664,665,45.0,[Timestamp('2025-05-15 00:00:00')],1,2025-05-15,355,5,1,2,512,1.5
665,666,124.8,"[Timestamp('2025-05-15 00:00:00'), Timestamp('2025-04-22 00:00:00')]",2,2025-05-15,355,5,2,4,524,3.0
666,667,59.5,[Timestamp('2025-05-13 00:00:00')],1,2025-05-13,357,5,1,3,513,2.0
672,673,90.0,[Timestamp('2025-05-06 00:00:00')],1,2025-05-06,364,5,1,4,514,2.5
673,674,84.0,"[Timestamp('2025-05-06 00:00:00'), Timestamp('2025-02-25 00:00:00')]",2,2025-05-06,364,5,2,3,523,2.5
674,675,90.0,"[Timestamp('2025-05-05 00:00:00'), Timestamp('2025-04-16 00:00:00')]",2,2025-05-05,365,5,2,4,524,3.0
675,676,62.05,[Timestamp('2025-05-04 00:00:00')],1,2025-05-04,366,5,1,3,513,2.0
676,677,112.0,[Timestamp('2025-04-27 00:00:00')],1,2025-04-27,373,5,1,4,514,2.5
677,678,56.0,[Timestamp('2025-04-26 00:00:00')],1,2025-04-26,374,5,1,2,512,1.5
679,680,38.25,[Timestamp('2025-04-22 00:00:00')],1,2025-04-22,378,5,1,2,512,1.5
681,682,45.0,[Timestamp('2025-04-19 00:00:00')],1,2025-04-19,381,5,1,2,512,1.5
682,683,103.0,[Timestamp('2025-04-19 00:00:00')],1,2025-04-19,381,5,1,4,514,2.5
683,684,73.0,[Timestamp('2025-04-19 00:00:00')],1,2025-04-19,381,5,1,3,513,2.0
684,685,45.0,[Timestamp('2025-04-18 00:00:00')],1,2025-04-18,382,5,1,2,512,1.5
685,686,45.0,[Timestamp('2025-04-17 00:00:00')],1,2025-04-17,383,5,1,2,512,1.5
686,687,73.0,[Timestamp('2025-04-16 00:00:00')],1,2025-04-16,384,5,1,3,513,2.0
687,688,82.5,[Timestamp('2025-04-16 00:00:00')],1,2025-04-16,384,5,1,3,513,2.0
689,690,42.0,"[Timestamp('2025-04-15 00:00:00'), Timestamp('2025-03-15 00:00:00')]",2,2025-04-15,385,4,2,2,422,2.0
692,693,63.0,"[Timestamp('2025-04-11 00:00:00'), Timestamp('2025-03-11 00:00:00'), Timestamp('2025-02-11 00:00:00')]",3,2025-04-11,389,4,3,3,433,3.0
694,695,90.0,[Timestamp('2025-04-10 00:00:00')],1,2025-04-10,390,4,1,4,414,2.5
697,698,145.0,"[Timestamp('2025-04-03 00:00:00'), Timestamp('2024-09-26 00:00:00')]",2,2025-04-03,397,4,2,4,424,3.0
698,699,45.0,[Timestamp('2025-04-02 00:00:00')],1,2025-04-02,398,4,1,2,412,1.5
699,700,45.0,[Timestamp('2025-04-01 00:00:00')],1,2025-04-01,399,4,1,2,412,1.5
700,701,56.0,[Timestamp('2025-03-29 00:00:00')],1,2025-03-29,402,4,1,2,412,1.5
701,702,49.0,"[Timestamp('2025-03-25 00:00:00'), Timestamp('2025-03-04 00:00:00')]",2,2025-03-25,406,4,2,2,422,2.0
702,703,84.0,[Timestamp('2025-03-23 00:00:00')],1,2025-03-23,408,4,1,3,413,2.0
703,704,45.0,[Timestamp('2025-03-23 00:00:00')],1,2025-03-23,408,4,1,2,412,1.5
704,705,90.0,"[Timestamp('2025-03-23 00:00:00'), Timestamp('2025-03-23 00:00:00')]",2,2025-03-23,408,4,2,4,424,3.0
705,706,56.0,[Timestamp('2025-03-18 00:00:00')],1,2025-03-18,413,4,1,2,412,1.5
707,708,38.25,[Timestamp('2025-03-16 00:00:00')],1,2025-03-16,415,4,1,2,412,1.5
708,709,155.0,[Timestamp('2025-03-05 00:00:00')],1,2025-03-05,426,4,1,4,414,2.5
710,711,45.0,[Timestamp('2025-03-04 00:00:00')],1,2025-03-04,427,4,1,2,412,1.5
711,712,45.0,[Timestamp('2025-03-02 00:00:00')],1,2025-03-02,429,4,1,2,412,1.5
712,713,45.0,[Timestamp('2025-03-02 00:00:00')],1,2025-03-02,429,4,1,2,412,1.5
713,714,45.0,[Timestamp('2025-03-01 00:00:00')],1,2025-03-01,430,4,1,2,412,1.5
715,716,45.0,[Timestamp('2025-02-28 00:00:00')],1,2025-02-28,431,4,1,2,412,1.5
717,718,45.0,[Timestamp('2025-02-25 00:00:00')],1,2025-02-25,434,4,1,2,412,1.5
719,720,67.5,"[Timestamp('2025-02-23 00:00:00'), Timestamp('2025-01-23 00:00:00')]",2,2025-02-23,436,4,2,3,423,2.5
720,721,45.0,[Timestamp('2025-02-21 00:00:00')],1,2025-02-21,438,4,1,2,412,1.5
722,723,45.0,[Timestamp('2025-02-18 00:00:00')],1,2025-02-18,441,4,1,2,412,1.5
725,726,337.0,[Timestamp('2025-02-14 00:00:00')],1,2025-02-14,445,4,1,5,415,3.0
727,728,112.0,[Timestamp('2025-02-08 00:00:00')],1,2025-02-08,451,4,1,4,414,2.5
729,730,45.0,[Timestamp('2025-02-06 00:00:00')],1,2025-02-06,453,4,1,2,412,1.5
731,732,141.0,[Timestamp('2025-01-29 00:00:00')],1,2025-01-29,461,4,1,4,414,2.5
732,733,204.0,[Timestamp('2025-01-29 00:00:00')],1,2025-01-29,461,4,1,5,415,3.0
735,736,49.0,[Timestamp('2025-01-28 00:00:00')],1,2025-01-28,462,4,1,2,412,1.5
736,737,90.0,[Timestamp('2025-01-27 00:00:00')],1,2025-01-27,463,4,1,4,414,2.5
737,738,56.0,[Timestamp('2025-01-27 00:00:00')],1,2025-01-27,463,4,1,2,412,1.5
739,740,56.0,[Timestamp('2025-01-26 00:00:00')],1,2025-01-26,464,4,1,2,412,1.5
741,742,73.0,[Timestamp('2025-01-25 00:00:00')],1,2025-01-25,465,4,1,3,413,2.0
743,744,66.25,"[Timestamp('2025-01-24 00:00:00'), Timestamp('2025-01-15 00:00:00')]",2,2025-01-24,466,4,2,3,423,2.5
746,747,112.0,"[Timestamp('2025-01-23 00:00:00'), Timestamp('2025-01-17 00:00:00')]",2,2025-01-23,467,4,2,4,424,3.0
747,748,73.0,"[Timestamp('2025-01-23 00:00:00'), Timestamp('2025-01-04 00:00:00')]",2,2025-01-23,467,4,2,3,423,2.5
748,749,140.0,[Timestamp('2025-01-23 00:00:00')],1,2025-01-23,467,4,1,4,414,2.5
752,753,141.0,[Timestamp('2025-01-20 00:00:00')],1,2025-01-20,470,4,1,4,414,2.5
754,755,70.0,[Timestamp('2025-01-17 00:00:00')],1,2025-01-17,473,4,1,3,413,2.0
760,761,47.6,[Timestamp('2025-01-10 00:00:00')],1,2025-01-10,480,4,1,2,412,1.5
761,762,114.75,[Timestamp('2025-01-09 00:00:00')],1,2025-01-09,481,4,1,4,414,2.5
764,765,83.25,"[Timestamp('2025-01-06 00:00:00'), Timestamp('2025-01-06 00:00:00')]",2,2025-01-06,484,4,2,3,423,2.5
765,766,45.0,[Timestamp('2025-01-05 00:00:00')],1,2025-01-05,485,4,1,2,412,1.5
766,767,52.5,"[Timestamp('2025-01-04 00:00:00'), Timestamp('2024-12-04 00:00:00')]",2,2025-01-04,486,4,2,2,422,2.0
767,768,94.3,"[Timestamp('2025-01-04 00:00:00'), Timestamp('2024-12-20 00:00:00')]",2,2025-01-04,486,4,2,4,424,3.0
769,770,45.0,[Timestamp('2025-01-01 00:00:00')],1,2025-01-01,489,4,1,2,412,1.5
770,771,45.0,[Timestamp('2024-12-29 00:00:00')],1,2024-12-29,492,4,1,2,412,1.5
771,772,132.8,"[Timestamp('2024-12-24 00:00:00'), Timestamp('2024-09-22 00:00:00')]",2,2024-12-24,497,4,2,4,424,3.0
773,774,141.0,[Timestamp('2024-12-23 00:00:00')],1,2024-12-23,498,4,1,4,414,2.5
774,775,70.0,[Timestamp('2024-12-20 00:00:00')],1,2024-12-20,501,4,1,3,413,2.0
776,777,147.9,[Timestamp('2024-12-15 00:00:00')],1,2024-12-15,506,4,1,4,414,2.5
777,778,59.5,[Timestamp('2024-12-13 00:00:00')],1,2024-12-13,508,4,1,3,413,2.0
778,779,129.5,"[Timestamp('2024-12-13 00:00:00'), Timestamp('2024-10-11 00:00:00')]",2,2024-12-13,508,4,2,4,424,3.0
780,781,161.0,[Timestamp('2024-12-10 00:00:00')],1,2024-12-10,511,4,1,4,414,2.5
