,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
14,15,56.0,[Timestamp('2024-07-03 00:00:00')],1,2024-07-03,671,3,1,2,312,1.5
19,20,28.0,[Timestamp('2024-06-25 00:00:00')],1,2024-06-25,679,3,1,1,311,1.0
22,23,62.4,[Timestamp('2024-06-22 00:00:00')],1,2024-06-22,682,3,1,3,313,2.0
23,24,28.0,[Timestamp('2024-06-22 00:00:00')],1,2024-06-22,682,3,1,1,311,1.0
24,25,80.0,[Timestamp('2024-06-21 00:00:00')],1,2024-06-21,683,3,1,3,313,2.0
26,27,28.0,[Timestamp('2024-06-17 00:00:00')],1,2024-06-17,687,3,1,1,311,1.0
27,28,40.0,[Timestamp('2024-06-16 00:00:00')],1,2024-06-16,688,3,1,2,312,1.5
28,29,22.4,[Timestamp('2024-06-15 00:00:00')],1,2024-06-15,689,3,1,1,311,1.0
29,30,28.0,[Timestamp('2024-06-13 00:00:00')],1,2024-06-13,691,3,1,1,311,1.0
30,31,28.0,[Timestamp('2024-06-13 00:00:00')],1,2024-06-13,691,3,1,1,311,1.0
34,35,28.0,[Timestamp('2024-06-09 00:00:00')],1,2024-06-09,695,3,1,1,311,1.0
35,36,28.0,[Timestamp('2024-06-09 00:00:00')],1,2024-06-09,695,3,1,1,311,1.0
37,38,63.0,[Timestamp('2024-06-08 00:00:00')],1,2024-06-08,696,3,1,3,313,2.0
39,40,45.0,[Timestamp('2024-06-06 00:00:00')],1,2024-06-06,698,3,1,2,312,1.5
40,41,56.0,[Timestamp('2024-06-06 00:00:00')],1,2024-06-06,698,3,1,2,312,1.5
41,42,50.0,[Timestamp('2024-06-05 00:00:00')],1,2024-06-05,699,3,1,2,312,1.5
42,43,28.0,[Timestamp('2024-06-05 00:00:00')],1,2024-06-05,699,3,1,1,311,1.0
