,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
2,3,760.8,"[Timestamp('2024-08-14 00:00:00'), Timestamp('2024-06-25 00:00:00'), Timestamp('2024-06-04 00:00:00'), Timestamp('2025-11-28 00:00:00'), Timestamp('2025-02-25 00:00:00'), Timestamp('2025-01-18 00:00:00')]",6,2025-11-28,158,5,4,5,545,4.5
3,4,440.0,"[Timestamp('2024-08-02 00:00:00'), Timestamp('2024-07-02 00:00:00'), Timestamp('2024-06-02 00:00:00'), Timestamp('2024-05-02 00:00:00'), Timestamp('2024-04-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-02-02 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2023-12-02 00:00:00'), Timestamp('2023-11-02 00:00:00'), Timestamp('2023-10-02 00:00:00'), Timestamp('2023-06-14 00:00:00'), Timestamp('2023-04-18 00:00:00'), Timestamp('2023-04-17 00:00:00'), Timestamp('2025-05-19 00:00:00'), Timestamp('2025-04-18 00:00:00'), Timestamp('2025-03-18 00:00:00'), Timestamp('2025-02-18 00:00:00'), Timestamp('2025-01-18 00:00:00')]",19,2025-05-19,351,5,5,5,555,5.0
8,9,238.0,"[Timestamp('2024-07-05 00:00:00'), Timestamp('2024-06-10 00:00:00'), Timestamp('2025-05-06 00:00:00'), Timestamp('2024-11-18 00:00:00')]",4,2025-05-06,364,5,3,5,535,4.0
9,10,371.99,"[Timestamp('2024-07-05 00:00:00'), Timestamp('2023-12-29 00:00:00'), Timestamp('2022-02-18 00:00:00'), Timestamp('2025-05-23 00:00:00')]",4,2025-05-23,347,5,3,5,535,4.0
11,12,308.0,"[Timestamp('2024-07-04 00:00:00'), Timestamp('2024-07-04 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-04 00:00:00'), Timestamp('2024-05-04 00:00:00'), Timestamp('2025-06-28 00:00:00')]",7,2025-06-28,311,5,4,5,545,4.5
12,13,508.0,"[Timestamp('2024-07-03 00:00:00'), Timestamp('2024-05-16 00:00:00'), Timestamp('2023-02-20 00:00:00'), Timestamp('2025-12-21 00:00:00'), Timestamp('2025-07-06 00:00:00'), Timestamp('2025-03-16 00:00:00'), Timestamp('2025-02-08 00:00:00')]",7,2025-12-21,135,5,4,5,545,4.5
18,19,265.0,"[Timestamp('2024-06-26 00:00:00'), Timestamp('2024-01-16 00:00:00'), Timestamp('2023-09-11 00:00:00'), Timestamp('2025-12-23 00:00:00')]",4,2025-12-23,133,5,3,5,535,4.0
25,26,1283.24,"[Timestamp('2024-06-19 00:00:00'), Timestamp('2023-08-14 00:00:00'), Timestamp('2023-06-06 00:00:00'), Timestamp('2023-03-14 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2026-04-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2024-12-31 00:00:00')]",8,2026-04-02,33,5,4,5,545,4.5
32,33,250.0,"[Timestamp('2024-06-13 00:00:00'), Timestamp('2025-07-06 00:00:00'), Timestamp('2025-01-01 00:00:00')]",3,2025-07-06,303,5,3,5,535,4.0
33,34,240.0,"[Timestamp('2024-06-11 00:00:00'), Timestamp('2024-05-29 00:00:00'), Timestamp('2023-12-10 00:00:00'), Timestamp('2023-11-29 00:00:00'), Timestamp('2025-11-23 00:00:00'), Timestamp('2025-02-01 00:00:00'), Timestamp('2025-02-01 00:00:00')]",7,2025-11-23,163,5,4,5,545,4.5
38,39,153.5,"[Timestamp('2024-06-07 00:00:00'), Timestamp('2026-02-02 00:00:00'), Timestamp('2025-01-10 00:00:00')]",3,2026-02-02,92,5,3,4,534,3.5
43,44,123.0,"[Timestamp('2024-06-05 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2025-04-16 00:00:00')]",3,2025-04-16,384,5,3,4,534,3.5
58,59,705.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2025-10-30 00:00:00'), Timestamp('2025-09-30 00:00:00'), Timestamp('2025-08-30 00:00:00'), Timestamp('2025-07-30 00:00:00')]",8,2025-10-30,187,5,4,5,545,4.5
70,71,499.84000000000003,"[Timestamp('2024-05-23 00:00:00'), Timestamp('2023-10-23 00:00:00'), Timestamp('2023-08-30 00:00:00'), Timestamp('2023-07-08 00:00:00'), Timestamp('2022-11-03 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2025-04-20 00:00:00')]",7,2025-04-20,380,5,4,5,545,4.5
80,81,219.39999999999998,"[Timestamp('2024-05-15 00:00:00'), Timestamp('2025-12-01 00:00:00'), Timestamp('2024-11-28 00:00:00'), Timestamp('2024-09-10 00:00:00')]",4,2025-12-01,155,5,3,5,535,4.0
93,94,3502.9,"[Timestamp('2024-05-03 00:00:00'), Timestamp('2024-05-03 00:00:00'), Timestamp('2024-05-03 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2024-03-17 00:00:00'), Timestamp('2024-03-17 00:00:00'), Timestamp('2024-03-17 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-01-31 00:00:00'), Timestamp('2024-01-31 00:00:00'), Timestamp('2024-01-31 00:00:00'), Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2025-11-24 00:00:00'), Timestamp('2025-05-07 00:00:00'), Timestamp('2024-08-29 00:00:00')]",33,2025-11-24,162,5,5,5,555,5.0
99,100,582.96,"[Timestamp('2024-04-30 00:00:00'), Timestamp('2024-04-08 00:00:00'), Timestamp('2023-11-23 00:00:00'), Timestamp('2023-08-15 00:00:00'), Timestamp('2023-05-07 00:00:00'), Timestamp('2023-01-27 00:00:00'), Timestamp('2022-11-20 00:00:00'), Timestamp('2025-11-28 00:00:00'), Timestamp('2025-01-01 00:00:00'), Timestamp('2024-12-02 00:00:00')]",10,2025-11-28,158,5,5,5,555,5.0
101,102,310.6,"[Timestamp('2024-04-29 00:00:00'), Timestamp('2023-11-20 00:00:00'), Timestamp('2025-06-29 00:00:00'), Timestamp('2025-06-29 00:00:00'), Timestamp('2025-03-11 00:00:00'), Timestamp('2024-10-19 00:00:00')]",6,2025-06-29,310,5,4,5,545,4.5
