,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
195,196,50.4,"[Timestamp('2024-01-25 00:00:00'), Timestamp('2024-01-07 00:00:00')]",2,2024-01-25,828,2,2,2,222,2.0
197,198,50.4,"[Timestamp('2024-01-24 00:00:00'), Timestamp('2024-01-12 00:00:00')]",2,2024-01-24,829,2,2,2,222,2.0
198,199,50.4,"[Timestamp('2024-01-24 00:00:00'), Timestamp('2024-01-12 00:00:00')]",2,2024-01-24,829,2,2,2,222,2.0
199,200,28.0,[Timestamp('2024-01-20 00:00:00')],1,2024-01-20,833,2,1,1,211,1.0
200,201,44.8,"[Timestamp('2024-01-15 00:00:00'), Timestamp('2024-01-15 00:00:00')]",2,2024-01-15,838,2,2,2,222,2.0
201,202,50.0,[Timestamp('2024-01-13 00:00:00')],1,2024-01-13,840,2,1,2,212,1.5
202,203,28.0,[Timestamp('2024-01-13 00:00:00')],1,2024-01-13,840,2,1,1,211,1.0
203,204,80.0,[Timestamp('2024-01-11 00:00:00')],1,2024-01-11,842,2,1,3,213,2.0
207,208,78.0,[Timestamp('2024-01-08 00:00:00')],1,2024-01-08,845,2,1,3,213,2.0
208,209,78.0,[Timestamp('2024-01-04 00:00:00')],1,2024-01-04,849,2,1,3,213,2.0
211,212,50.0,[Timestamp('2024-01-03 00:00:00')],1,2024-01-03,850,2,1,2,212,1.5
214,215,50.0,[Timestamp('2024-01-01 00:00:00')],1,2024-01-01,852,2,1,2,212,1.5
216,217,50.0,[Timestamp('2024-01-01 00:00:00')],1,2024-01-01,852,2,1,2,212,1.5
217,218,28.0,[Timestamp('2023-12-28 00:00:00')],1,2023-12-28,856,2,1,1,211,1.0
219,220,28.0,[Timestamp('2023-12-23 00:00:00')],1,2023-12-23,861,2,1,1,211,1.0
220,221,28.0,[Timestamp('2023-12-20 00:00:00')],1,2023-12-20,864,2,1,1,211,1.0
