,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
0,1,144.0,"[Timestamp('2024-08-17 00:00:00'), Timestamp('2024-05-27 00:00:00'), Timestamp('2024-08-29 00:00:00')]",3,2024-08-29,611,3,3,4,334,3.5
1,2,136.25,"[Timestamp('2024-08-17 00:00:00'), Timestamp('2024-07-17 00:00:00'), Timestamp('2022-07-19 00:00:00')]",3,2024-08-17,623,3,3,4,334,3.5
4,5,422.0,"[Timestamp('2024-08-02 00:00:00'), Timestamp('2024-03-21 00:00:00'), Timestamp('2023-12-12 00:00:00'), Timestamp('2023-11-28 00:00:00')]",4,2024-08-02,638,3,3,5,335,4.0
5,6,208.0,"[Timestamp('2024-08-01 00:00:00'), Timestamp('2024-06-09 00:00:00')]",2,2024-08-01,639,3,2,5,325,3.5
6,7,918.4,"[Timestamp('2024-08-01 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-08-01 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-05-09 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-22 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00'), Timestamp('2023-12-11 00:00:00')]",20,2024-08-01,639,3,5,5,355,5.0
7,8,168.0,"[Timestamp('2024-07-14 00:00:00'), Timestamp('2024-06-14 00:00:00'), Timestamp('2025-03-10 00:00:00')]",3,2025-03-10,418,4,3,4,434,3.5
13,14,181.94,"[Timestamp('2024-07-03 00:00:00'), Timestamp('2023-07-20 00:00:00'), Timestamp('2021-12-21 00:00:00')]",3,2024-07-03,668,3,3,5,335,4.0
17,18,219.5,"[Timestamp('2024-06-28 00:00:00'), Timestamp('2024-05-26 00:00:00'), Timestamp('2024-03-05 00:00:00')]",3,2024-06-28,673,3,3,5,335,4.0
20,21,188.0,"[Timestamp('2024-06-25 00:00:00'), Timestamp('2024-05-25 00:00:00'), Timestamp('2025-03-25 00:00:00')]",3,2025-03-25,403,4,3,5,435,4.0
21,22,112.19999999999999,"[Timestamp('2024-06-23 00:00:00'), Timestamp('2025-03-02 00:00:00'), Timestamp('2024-08-23 00:00:00')]",3,2025-03-02,426,4,3,4,434,3.5
36,37,1200.0,"[Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-06-08 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-04-24 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00'), Timestamp('2024-03-13 00:00:00')]",20,2024-06-08,693,3,5,5,355,5.0
49,50,252.0,"[Timestamp('2024-06-03 00:00:00'), Timestamp('2023-02-18 00:00:00'), Timestamp('2023-01-25 00:00:00')]",3,2024-06-03,698,3,3,5,335,4.0
54,55,359.0,"[Timestamp('2024-05-29 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-03 00:00:00'), Timestamp('2023-11-04 00:00:00'), Timestamp('2023-10-04 00:00:00'), Timestamp('2023-09-04 00:00:00')]",8,2024-05-29,703,3,4,5,345,4.5
56,57,112.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-21 00:00:00')]",4,2024-05-28,704,3,3,4,334,3.5
57,58,352.9,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-03-25 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-06-30 00:00:00'), Timestamp('2023-01-26 00:00:00'), Timestamp('2025-04-15 00:00:00')]",6,2025-04-15,382,4,4,5,445,4.5
59,60,230.0,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00')]",2,2024-05-28,704,3,2,5,325,3.5
61,62,284.8,"[Timestamp('2024-05-28 00:00:00'), Timestamp('2024-05-28 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-04-26 00:00:00'), Timestamp('2024-11-06 00:00:00')]",5,2024-11-06,542,4,4,5,445,4.5
62,63,180.0,"[Timestamp('2024-05-27 00:00:00'), Timestamp('2024-05-27 00:00:00'), Timestamp('2024-03-18 00:00:00'), Timestamp('2024-03-18 00:00:00')]",4,2024-05-27,705,3,3,5,335,4.0
68,69,180.0,"[Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-23 00:00:00'), Timestamp('2024-05-20 00:00:00')]",3,2024-05-24,708,3,3,5,335,4.0
69,70,318.0,"[Timestamp('2024-05-24 00:00:00'), Timestamp('2024-05-24 00:00:00'), Timestamp('2023-08-24 00:00:00'), Timestamp('2023-08-24 00:00:00'), Timestamp('2023-03-27 00:00:00'), Timestamp('2023-03-27 00:00:00'), Timestamp('2025-03-30 00:00:00')]",7,2025-03-30,398,4,4,5,445,4.5
72,73,584.0,"[Timestamp('2024-05-23 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-06 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-05-08 00:00:00'), Timestamp('2023-05-02 00:00:00'), Timestamp('2024-08-27 00:00:00')]",7,2024-08-27,613,3,4,5,345,4.5
73,74,860.0,"[Timestamp('2024-05-23 00:00:00'), Timestamp('2024-05-23 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-06 00:00:00'), Timestamp('2023-12-06 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-05-08 00:00:00'), Timestamp('2023-05-08 00:00:00'), Timestamp('2023-05-02 00:00:00'), Timestamp('2023-05-02 00:00:00')]",12,2024-05-23,709,3,5,5,355,5.0
79,80,324.0,"[Timestamp('2024-05-17 00:00:00'), Timestamp('2024-05-17 00:00:00'), Timestamp('2024-02-18 00:00:00'), Timestamp('2024-02-18 00:00:00')]",4,2024-05-17,715,3,3,5,335,4.0
86,87,3216.0,"[Timestamp('2024-05-07 00:00:00'), Timestamp('2024-05-07 00:00:00'), Timestamp('2024-05-07 00:00:00'), Timestamp('2024-05-07 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-04-29 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-19 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-12 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-03-02 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2024-01-30 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-12-04 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-10-20 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-09-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-06-08 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-05-09 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2023-04-29 00:00:00'), Timestamp('2025-01-17 00:00:00'), Timestamp('2024-12-12 00:00:00'), Timestamp('2024-09-10 00:00:00')]",55,2025-01-17,470,4,5,5,455,5.0
105,106,262.0,"[Timestamp('2024-04-26 00:00:00'), Timestamp('2024-01-06 00:00:00')]",2,2024-04-26,736,3,2,5,325,3.5
110,111,2150.0,"[Timestamp('2024-04-23 00:00:00'), Timestamp('2024-04-23 00:00:00'), Timestamp('2024-04-23 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-03-01 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2023-04-08 00:00:00'), Timestamp('2023-04-08 00:00:00'), Timestamp('2023-04-08 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2025-01-05 00:00:00'), Timestamp('2024-10-19 00:00:00'), Timestamp('2024-08-18 00:00:00'), Timestamp('2024-08-18 00:00:00')]",19,2025-01-05,482,4,5,5,455,5.0
112,113,913.99,"[Timestamp('2024-04-21 00:00:00'), Timestamp('2023-10-18 00:00:00'), Timestamp('2023-10-04 00:00:00'), Timestamp('2023-02-07 00:00:00'), Timestamp('2022-10-01 00:00:00'), Timestamp('2022-06-03 00:00:00'), Timestamp('2024-10-23 00:00:00'), Timestamp('2024-10-21 00:00:00'), Timestamp('2024-10-19 00:00:00')]",9,2024-10-23,556,4,4,5,445,4.5
116,117,1550.0,"[Timestamp('2024-04-13 00:00:00'), Timestamp('2024-04-13 00:00:00'), Timestamp('2024-04-13 00:00:00'), Timestamp('2024-04-13 00:00:00'), Timestamp('2024-04-13 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2023-12-27 00:00:00'), Timestamp('2023-12-27 00:00:00'), Timestamp('2023-12-27 00:00:00'), Timestamp('2023-12-27 00:00:00'), Timestamp('2023-12-27 00:00:00'), Timestamp('2023-01-09 00:00:00'), Timestamp('2023-01-09 00:00:00'), Timestamp('2023-01-09 00:00:00'), Timestamp('2023-01-09 00:00:00'), Timestamp('2023-01-09 00:00:00')]",25,2024-04-13,749,3,5,5,355,5.0
119,120,258.0,"[Timestamp('2024-04-11 00:00:00'), Timestamp('2024-04-11 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2023-12-07 00:00:00'), Timestamp('2024-11-02 00:00:00')]",5,2024-11-02,546,4,4,5,445,4.5
122,123,175.45,"[Timestamp('2024-04-08 00:00:00'), Timestamp('2023-07-22 00:00:00')]",2,2024-04-08,754,3,2,5,325,3.5
126,127,220.0,"[Timestamp('2024-03-31 00:00:00'), Timestamp('2024-03-31 00:00:00')]",2,2024-03-31,762,3,2,5,325,3.5
128,129,364.0,"[Timestamp('2024-03-28 00:00:00'), Timestamp('2024-03-28 00:00:00'), Timestamp('2024-03-28 00:00:00'), Timestamp('2024-02-25 00:00:00'), Timestamp('2024-02-25 00:00:00'), Timestamp('2024-02-25 00:00:00'), Timestamp('2024-02-25 00:00:00'), Timestamp('2024-02-25 00:00:00'), Timestamp('2024-02-25 00:00:00'), Timestamp('2025-02-17 00:00:00')]",10,2025-02-17,439,4,5,5,455,5.0
