,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
215,216,799.6,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2023-10-16 00:00:00'), Timestamp('2023-10-16 00:00:00'), Timestamp('2023-10-16 00:00:00'), Timestamp('2023-10-16 00:00:00'), Timestamp('2023-09-10 00:00:00'), Timestamp('2023-09-10 00:00:00'), Timestamp('2023-09-10 00:00:00'), Timestamp('2023-09-10 00:00:00'), Timestamp('2023-08-05 00:00:00'), Timestamp('2023-08-05 00:00:00'), Timestamp('2023-08-05 00:00:00'), Timestamp('2023-08-05 00:00:00')]",16,2024-01-01,855,2,5,5,255,5.0
247,248,840.0,"[Timestamp('2023-11-23 00:00:00'), Timestamp('2023-11-23 00:00:00'), Timestamp('2023-11-23 00:00:00'), Timestamp('2022-11-21 00:00:00'), Timestamp('2022-11-21 00:00:00'), Timestamp('2022-11-21 00:00:00'), Timestamp('2022-06-16 00:00:00'), Timestamp('2022-06-16 00:00:00'), Timestamp('2022-06-16 00:00:00')]",9,2023-11-23,894,2,4,5,245,4.5
258,259,348.0,"[Timestamp('2023-11-17 00:00:00'), Timestamp('2023-11-17 00:00:00'), Timestamp('2023-11-17 00:00:00'), Timestamp('2023-06-06 00:00:00'), Timestamp('2023-06-06 00:00:00'), Timestamp('2023-06-06 00:00:00'), Timestamp('2023-01-29 00:00:00'), Timestamp('2023-01-29 00:00:00'), Timestamp('2023-01-29 00:00:00')]",9,2023-11-17,900,2,4,5,245,4.5
259,260,337.7,"[Timestamp('2023-11-11 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-10-21 00:00:00'), Timestamp('2023-10-01 00:00:00'), Timestamp('2023-09-01 00:00:00'), Timestamp('2023-08-01 00:00:00'), Timestamp('2023-07-10 00:00:00')]",7,2023-11-11,906,2,4,5,245,4.5
260,261,1883.06,"[Timestamp('2023-11-11 00:00:00'), Timestamp('2023-11-11 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-08-05 00:00:00'), Timestamp('2023-08-05 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-04-22 00:00:00'), Timestamp('2023-04-22 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2023-04-04 00:00:00'), Timestamp('2023-03-19 00:00:00'), Timestamp('2023-03-19 00:00:00'), Timestamp('2023-02-20 00:00:00'), Timestamp('2023-02-20 00:00:00'), Timestamp('2023-02-04 00:00:00'), Timestamp('2023-02-04 00:00:00'), Timestamp('2023-02-01 00:00:00'), Timestamp('2023-02-01 00:00:00'), Timestamp('2023-01-23 00:00:00'), Timestamp('2023-01-23 00:00:00'), Timestamp('2022-12-04 00:00:00'), Timestamp('2022-12-04 00:00:00')]",28,2023-11-11,906,2,5,5,255,5.0
271,272,375.0,"[Timestamp('2023-11-01 00:00:00'), Timestamp('2023-11-01 00:00:00'), Timestamp('2023-11-01 00:00:00'), Timestamp('2023-03-24 00:00:00'), Timestamp('2023-03-24 00:00:00'), Timestamp('2023-03-24 00:00:00')]",6,2023-11-01,916,2,4,5,245,4.5
272,273,3670.9,"[Timestamp('2023-10-26 00:00:00'), Timestamp('2023-10-26 00:00:00'), Timestamp('2023-10-26 00:00:00'), Timestamp('2023-10-26 00:00:00'), Timestamp('2023-10-26 00:00:00'), Timestamp('2023-07-17 00:00:00'), Timestamp('2023-07-17 00:00:00'), Timestamp('2023-07-17 00:00:00'), Timestamp('2023-07-17 00:00:00'), Timestamp('2023-07-17 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2022-11-27 00:00:00'), Timestamp('2022-11-27 00:00:00'), Timestamp('2022-11-27 00:00:00'), Timestamp('2022-11-27 00:00:00'), Timestamp('2022-11-27 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-19 00:00:00')]",25,2023-10-26,922,2,5,5,255,5.0
274,275,208.0,"[Timestamp('2023-10-24 00:00:00'), Timestamp('2023-10-24 00:00:00'), Timestamp('2023-07-04 00:00:00'), Timestamp('2023-07-04 00:00:00'), Timestamp('2023-04-15 00:00:00'), Timestamp('2023-04-15 00:00:00')]",6,2023-10-24,924,2,4,5,245,4.5
276,277,228.0,"[Timestamp('2023-10-21 00:00:00'), Timestamp('2023-10-21 00:00:00'), Timestamp('2023-10-21 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2023-03-27 00:00:00'), Timestamp('2023-03-27 00:00:00'), Timestamp('2023-03-27 00:00:00')]",9,2023-10-21,927,2,4,5,245,4.5
287,288,192.0,"[Timestamp('2023-09-12 00:00:00'), Timestamp('2023-08-12 00:00:00'), Timestamp('2023-07-12 00:00:00'), Timestamp('2023-06-12 00:00:00'), Timestamp('2023-05-12 00:00:00'), Timestamp('2023-04-12 00:00:00')]",6,2023-09-12,966,2,4,5,245,4.5
