,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
690,691,23.8,[Timestamp('2025-04-13 00:00:00')],1,2025-04-13,387,4,1,1,411,1.0
691,692,28.0,[Timestamp('2025-04-13 00:00:00')],1,2025-04-13,387,4,1,1,411,1.0
693,694,21.0,[Timestamp('2025-04-10 00:00:00')],1,2025-04-10,390,4,1,1,411,1.0
696,697,28.0,[Timestamp('2025-04-06 00:00:00')],1,2025-04-06,394,4,1,1,411,1.0
706,707,28.0,[Timestamp('2025-03-17 00:00:00')],1,2025-03-17,414,4,1,1,411,1.0
709,710,28.0,[Timestamp('2025-03-04 00:00:00')],1,2025-03-04,427,4,1,1,411,1.0
716,717,28.0,[Timestamp('2025-02-27 00:00:00')],1,2025-02-27,432,4,1,1,411,1.0
718,719,33.75,[Timestamp('2025-02-24 00:00:00')],1,2025-02-24,435,4,1,1,411,1.0
721,722,28.0,[Timestamp('2025-02-19 00:00:00')],1,2025-02-19,440,4,1,1,411,1.0
723,724,28.0,[Timestamp('2025-02-18 00:00:00')],1,2025-02-18,441,4,1,1,411,1.0
724,725,28.0,[Timestamp('2025-02-17 00:00:00')],1,2025-02-17,442,4,1,1,411,1.0
726,727,28.0,[Timestamp('2025-02-11 00:00:00')],1,2025-02-11,448,4,1,1,411,1.0
728,729,22.4,[Timestamp('2025-02-07 00:00:00')],1,2025-02-07,452,4,1,1,411,1.0
730,731,28.0,[Timestamp('2025-02-06 00:00:00')],1,2025-02-06,453,4,1,1,411,1.0
733,734,23.8,[Timestamp('2025-01-29 00:00:00')],1,2025-01-29,461,4,1,1,411,1.0
734,735,28.0,[Timestamp('2025-01-28 00:00:00')],1,2025-01-28,462,4,1,1,411,1.0
738,739,23.8,[Timestamp('2025-01-27 00:00:00')],1,2025-01-27,463,4,1,1,411,1.0
742,743,28.0,[Timestamp('2025-01-24 00:00:00')],1,2025-01-24,466,4,1,1,411,1.0
744,745,28.0,[Timestamp('2025-01-24 00:00:00')],1,2025-01-24,466,4,1,1,411,1.0
745,746,28.0,[Timestamp('2025-01-24 00:00:00')],1,2025-01-24,466,4,1,1,411,1.0
749,750,28.0,[Timestamp('2025-01-22 00:00:00')],1,2025-01-22,468,4,1,1,411,1.0
750,751,28.0,[Timestamp('2025-01-22 00:00:00')],1,2025-01-22,468,4,1,1,411,1.0
751,752,28.0,[Timestamp('2025-01-22 00:00:00')],1,2025-01-22,468,4,1,1,411,1.0
753,754,28.0,[Timestamp('2025-01-18 00:00:00')],1,2025-01-18,472,4,1,1,411,1.0
755,756,28.0,[Timestamp('2025-01-17 00:00:00')],1,2025-01-17,473,4,1,1,411,1.0
756,757,28.0,[Timestamp('2025-01-17 00:00:00')],1,2025-01-17,473,4,1,1,411,1.0
757,758,28.0,[Timestamp('2025-01-16 00:00:00')],1,2025-01-16,474,4,1,1,411,1.0
758,759,23.8,[Timestamp('2025-01-14 00:00:00')],1,2025-01-14,476,4,1,1,411,1.0
759,760,28.0,[Timestamp('2025-01-10 00:00:00')],1,2025-01-10,480,4,1,1,411,1.0
762,763,23.8,[Timestamp('2025-01-08 00:00:00')],1,2025-01-08,482,4,1,1,411,1.0
763,764,22.4,[Timestamp('2025-01-07 00:00:00')],1,2025-01-07,483,4,1,1,411,1.0
768,769,28.0,[Timestamp('2025-01-02 00:00:00')],1,2025-01-02,488,4,1,1,411,1.0
772,773,23.8,[Timestamp('2024-12-24 00:00:00')],1,2024-12-24,497,4,1,1,411,1.0
775,776,29.75,[Timestamp('2024-12-17 00:00:00')],1,2024-12-17,504,4,1,1,411,1.0
779,780,35.0,[Timestamp('2024-12-11 00:00:00')],1,2024-12-11,510,4,1,1,411,1.0
783,784,35.0,[Timestamp('2024-12-08 00:00:00')],1,2024-12-08,513,4,1,1,411,1.0
784,785,11.6,[Timestamp('2024-12-06 00:00:00')],1,2024-12-06,515,4,1,1,411,1.0
793,794,35.0,[Timestamp('2024-11-15 00:00:00')],1,2024-11-15,536,4,1,1,411,1.0
796,797,26.25,[Timestamp('2024-10-31 00:00:00')],1,2024-10-31,551,4,1,1,411,1.0
797,798,26.25,[Timestamp('2024-10-29 00:00:00')],1,2024-10-29,553,4,1,1,411,1.0
799,800,29.75,[Timestamp('2024-10-24 00:00:00')],1,2024-10-24,558,4,1,1,411,1.0
801,802,35.0,[Timestamp('2024-10-22 00:00:00')],1,2024-10-22,560,4,1,1,411,1.0
804,805,29.75,[Timestamp('2024-10-14 00:00:00')],1,2024-10-14,568,4,1,1,411,1.0
807,808,35.0,[Timestamp('2024-10-13 00:00:00')],1,2024-10-13,569,4,1,1,411,1.0
808,809,35.0,[Timestamp('2024-10-12 00:00:00')],1,2024-10-12,570,4,1,1,411,1.0
809,810,26.25,[Timestamp('2024-10-12 00:00:00')],1,2024-10-12,570,4,1,1,411,1.0
810,811,29.75,[Timestamp('2024-10-11 00:00:00')],1,2024-10-11,571,4,1,1,411,1.0
811,812,35.0,[Timestamp('2024-09-30 00:00:00')],1,2024-09-30,582,4,1,1,411,1.0
813,814,25.6,[Timestamp('2024-09-26 00:00:00')],1,2024-09-26,586,4,1,1,411,1.0
819,820,32.0,[Timestamp('2024-09-17 00:00:00')],1,2024-09-17,595,4,1,1,411,1.0
