subtotal,order_date_dt,order_total_revenue,zip_code,unique_customer_id
40,2024-08-17,24,,1
75,2024-08-17,40,,2
300,2024-08-14,200,80027,3
40,2024-08-02,24,89122,4
150,2024-08-02,100,81657,5
150,2024-08-01,100,,6
80,2024-08-01,56,,7
80,2024-08-01,56,,7
80,2024-08-01,56,,7
80,2024-08-01,56,,7
75,2024-07-17,40,,2
120,2024-07-14,84,98375,8
160,2024-07-05,56,30030,9
300,2024-07-05,100,85746,10
160,2024-07-04,56,,11
160,2024-07-04,56,,12
160,2024-07-04,56,,12
150,2024-07-03,50,81623,13
150,2024-07-03,50,,14
160,2024-07-03,56,32225,15
160,2024-07-02,56,97201,16
80,2024-07-02,24,89122,4
160,2024-07-02,44.8,44139,17
75,2024-06-28,50,8753,18
80,2024-06-26,64,80015,19
40,2024-06-25,28,,20
305,2024-06-25,164.8,80027,3
80,2024-06-25,24,33073,21
40,2024-06-23,22.4,38114,22
115,2024-06-22,62.4,,23
40,2024-06-22,28,98629,24
150,2024-06-21,80,,25
260,2024-06-19,200,60605,26
40,2024-06-17,28,11377,27
75,2024-06-16,40,,28
40,2024-06-15,22.4,,29
80,2024-06-14,28,98375,8
80,2024-06-13,28,66202,30
80,2024-06-13,28,30152,31
150,2024-06-13,100,7063,32
75,2024-06-13,45,61455,33
40,2024-06-11,28,95060,34
160,2024-06-10,56,30030,9
215,2024-06-09,108,,6
80,2024-06-09,28,44105,35
80,2024-06-09,28,,36
160,2024-06-08,56,,37
160,2024-06-08,56,,37
160,2024-06-08,56,,37
160,2024-06-08,56,,37
160,2024-06-08,56,,37
145,2024-06-08,63,,38
75,2024-06-07,40,,39
75,2024-06-06,45,,40
160,2024-06-06,56,,41
75,2024-06-05,50,,42
40,2024-06-05,28,,43
80,2024-06-05,28,,44
80,2024-06-05,28,86426,45
75,2024-06-04,50,,46
75,2024-06-04,50,80401,47
155,2024-06-04,78,80027,3
80,2024-06-03,28,,48
75,2024-06-03,40,27006,49
80,2024-06-03,28,95062,50
80,2024-06-02,20,89122,4
80,2024-06-02,28,76528,51
80,2024-06-01,28,61244,52
80,2024-05-31,28,,53
150,2024-05-30,50,8005,54
75,2024-05-29,40,97358,55
40,2024-05-29,22.4,,56
150,2024-05-29,50,95060,34
40,2024-05-28,28,,57
40,2024-05-28,28,,57
40,2024-05-28,28,80210,58
300,2024-05-28,100,,59
300,2024-05-28,100,,59
300,2024-05-28,100,93313,60
230,2024-05-28,130,,59
230,2024-05-28,130,,59
230,2024-05-28,130,93313,60
150,2024-05-28,50,,61
80,2024-05-28,56,,62
80,2024-05-28,56,,62
80,2024-05-27,56,,1
150,2024-05-27,50,,63
150,2024-05-27,50,,63
40,2024-05-26,24,48326,64
150,2024-05-26,50,21230,65
150,2024-05-26,45,61455,66
150,2024-05-26,50,,67
219.5,2024-05-26,119.5,8753,18
150,2024-05-25,50,,68
40,2024-05-25,24,33073,21
150,2024-05-24,50,,37
150,2024-05-24,50,,37
150,2024-05-24,50,,37
150,2024-05-24,50,,37
150,2024-05-24,50,,37
150,2024-05-24,50,7071,69
150,2024-05-24,50,13753,70
150,2024-05-24,50,13753,70
150,2024-05-23,50,7071,69
150,2024-05-23,50,84653,71
145,2024-05-23,115,,72
150,2024-05-23,50,,73
150,2024-05-23,50,93555,74
150,2024-05-23,50,93555,74
40,2024-05-23,28,61265,75
40,2024-05-22,22.4,85710,76
190,2024-05-22,78,79001,77
155,2024-05-21,84.8,,78
150,2024-05-20,80,7071,69
40,2024-05-19,22.4,2760,79
195,2024-05-17,134,,80
195,2024-05-17,134,,80
75,2024-05-16,50,81623,13
115,2024-05-15,54.6,80303,81
40,2024-05-14,28,,82
150,2024-05-13,80,49079,83
145,2024-05-13,92,33955,84
40,2024-05-12,28,,85
320,2024-05-09,140,44721,86
80,2024-05-09,28,,12
80,2024-05-09,28,,12
160,2024-05-09,56,,7
160,2024-05-09,56,,7
160,2024-05-09,56,,7
160,2024-05-09,56,,7
80,2024-05-07,28,83687,87
80,2024-05-07,28,83687,87
80,2024-05-07,28,83687,87
80,2024-05-07,28,83687,87
80,2024-05-07,28,,88
80,2024-05-05,28,52803,89
155,2024-05-05,130,,90
80,2024-05-05,28,97201,16
160,2024-05-05,56,,91
160,2024-05-05,56,78613,92
80,2024-05-04,28,,12
80,2024-05-04,28,,12
80,2024-05-03,28,,93
290,2024-05-03,126,44116,94
290,2024-05-03,126,44116,94
290,2024-05-03,126,44116,94
80,2024-05-03,28,77023,95
75,2024-05-02,50,80503,96
80,2024-05-02,24,89122,4
134.5,2024-05-01,94.05,,97
80,2024-04-30,28,97214,98
40,2024-04-30,22.4,,99
40,2024-04-30,22.4,,99
300,2024-04-30,100,91006,100
225,2024-04-29,72.8,78704,101
150,2024-04-29,50,2816,102
150,2024-04-29,50,83687,87
150,2024-04-29,50,83687,87
150,2024-04-29,50,83687,87
150,2024-04-29,50,83687,87
320,2024-04-28,140,,103
40,2024-04-27,22.4,,104
150,2024-04-26,50,80537,105
150,2024-04-26,50,80537,105
150,2024-04-26,50,80537,105
150,2024-04-26,50,80537,105
150,2024-04-26,50,80537,105
150,2024-04-26,50,80537,105
150,2024-04-26,50,80537,105
40,2024-04-26,22.4,,62
40,2024-04-26,22.4,,62
300,2024-04-26,100,44203,106
40,2024-04-26,28,,107
150,2024-04-25,50,80504,108
155,2024-04-24,106,,37
155,2024-04-24,106,,37
155,2024-04-24,106,,37
155,2024-04-24,106,,37
155,2024-04-24,106,,37
40,2024-04-24,22.4,,109
75,2024-04-23,50,,110
600,2024-04-23,250,80219,111
600,2024-04-23,250,80219,111
600,2024-04-23,250,80219,111
40,2024-04-22,22.4,4048,112
225,2024-04-21,100,37042,113
40,2024-04-20,28,,114
150,2024-04-19,70,60611,115
40,2024-04-19,22.4,77023,95
80,2024-04-18,56,,116
80,2024-04-13,80,90803,117
80,2024-04-13,80,90803,117
80,2024-04-13,80,90803,117
80,2024-04-13,80,90803,117
80,2024-04-13,80,90803,117
380,2024-04-13,204.8,22182,118
40,2024-04-12,22.4,15235,119
75,2024-04-11,50,,120
75,2024-04-11,50,,120
40,2024-04-11,22.4,,121
75,2024-04-09,50,,122
109.5,2024-04-08,97.5,80215,123
75,2024-04-08,40,91006,100
145,2024-04-08,96.8,44116,94
145,2024-04-08,96.8,44116,94
145,2024-04-08,96.8,44116,94
40,2024-04-06,28,,124
